record_id,subject_id,t_center,original_index,pm_anomaly_score,pm_anomaly_score_max,feature_anomaly_score,combined_anomaly_score,anomaly_threshold,is_anomaly,target_attention,target_engagement,target_excitement,target_stress,target_relaxation,target_interest,target_focus
Old_EEG__2182c1cd__day1__part2__2023.11.28T13.51.38p03.00,2182c1cd,1730.0,3011,0.8709028191022972,2.1643668766109045,466.62173,69.26036066331292,20.37091060104527,True,0.740156,0.732115,0.598903,0.448673,0.271731,0.61334,0.643203
Old_EEG__2182c1cd__day1__part2__2023.11.28T13.51.38p03.00,2182c1cd,1780.0,3016,1.1749384572120039,3.5053201347926723,629.8888,94.21184606870075,20.37091060104527,True,0.744423,0.687843,0.742733,0.63837,0.362306,0.693194,0.525234
Old_EEG__2182c1cd__day1__part2__2023.11.28T13.51.38p03.00,2182c1cd,1910.0,3029,0.7860522025421185,2.6654446266227585,459.62527,68.04492113624117,20.37091060104527,True,0.559588,0.447197,0.570831,0.503498,0.318155,0.532932,0.477436
Old_EEG__2182c1cd__day1__part2__2023.11.28T13.51.38p03.00,2182c1cd,1930.0,3031,1.7440545304607975,4.624575924397549,358.68427,54.95123745675953,20.37091060104527,True,0.327257,0.779656,0.982734,0.607054,0.697059,0.943698,0.509094
Old_EEG__2182c1cd__day1__part2__2023.11.28T13.51.38p03.00,2182c1cd,2320.0,3070,1.3284460482896516,3.9199081243402483,3045.6528,454.5591020447941,20.37091060104527,True,0.484196,0.664783,0.796716,0.572129,0.573949,0.699989,0.390219
Old_EEG__2182c1cd__day1__part2__2023.11.28T13.51.38p03.00,2182c1cd,2900.0,3118,0.46483759949225006,1.4666481342237647,566.51263,84.62809548261136,20.37091060104527,True,0.261777,0.467824,0.364275,0.393987,0.222815,0.529998,0.39403
Old_EEG__219060fa__day1____2023.12.15T16.47.17p03.00,219060fa,2720.0,3390,1.3044390878048857,6.996853052862274,432.12546,65.0016960047317,20.37091060104527,True,0.233566,0.405462,0.362834,0.449917,0.484005,0.515677,0.502965
Old_EEG__219060fa__day1____2023.12.15T16.47.17p03.00,219060fa,4230.0,3541,1.2440737519481442,3.6010288598850813,153.10875,23.295405614360753,20.37091060104527,True,0.838773,0.634867,0.515191,0.496433,0.311659,0.508632,0.419578
Old_EEG__21a031f6__day1____2024.01.12T16.19.41p03.00,21a031f6,940.0,3689,0.6853416800578058,3.375315112075724,202.98706,30.0010016334156,20.37091060104527,True,0.466731,0.525398,0.234734,0.343581,0.296488,0.494269,0.365071
Old_EEG__21a031f6__day1____2024.01.12T16.19.41p03.00,21a031f6,990.0,3694,1.2474036068279706,9.490354598527436,209.60394,31.721976067049972,20.37091060104527,True,0.562179,0.567513,0.206232,0.321641,0.235822,0.490995,0.461758
Old_EEG__21a031f6__day1____2024.01.12T16.19.41p03.00,21a031f6,1120.0,3707,1.1639196865038315,5.187576845774316,236.28084,35.52784085958956,20.37091060104527,True,0.497614,0.661736,0.123059,0.305343,0.162979,0.507844,0.44984
Old_EEG__21a031f6__day1____2024.01.12T16.19.41p03.00,21a031f6,1170.0,3712,1.0796209113658068,3.749698901826502,220.2485,32.966856421619006,20.37091060104527,True,0.543418,0.566904,0.749452,0.398775,0.591953,0.522766,0.407095
Old_EEG__21a031f6__day1____2024.01.12T16.19.41p03.00,21a031f6,1320.0,3727,1.377536860004076,5.508802903774078,230.43549,35.091515339875265,20.37091060104527,True,0.445438,0.658978,0.676318,0.377707,0.420162,0.534341,0.523069
Old_EEG__21a031f6__day1____2024.01.12T16.19.41p03.00,21a031f6,4220.0,4017,4.332775759110216,16.599696554831432,99.55015,21.600653700378658,20.37091060104527,True,0.349942,0.820134,0.893815,0.831049,0.5561,0.724118,0.559402
Old_EEG__30c140ca__day1____2023.12.18T09.42.40p03.00,30c140ca,10.0,4312,0.797781739983454,2.0381663772477414,224.86778,33.081577105865655,20.37091060104527,True,0.593971,0.662564,0.593591,0.317411,0.487497,0.428297,0.308234
Old_EEG__30c140ca__day1____2023.12.18T09.42.40p03.00,30c140ca,20.0,4313,0.5541059775267837,2.4469159028707574,481.5556,71.7847666430011,20.37091060104527,True,0.604898,0.660312,0.668475,0.384258,0.476872,0.416963,0.387731
Old_EEG__30c140ca__day1____2023.12.18T09.42.40p03.00,30c140ca,40.0,4315,1.1192787521341123,3.583138493866981,170.23447,25.59371153701974,20.37091060104527,True,0.578602,0.716786,0.876634,0.504801,0.667541,0.432949,0.4405
Old_EEG__30c140ca__day1____2023.12.18T09.42.40p03.00,30c140ca,50.0,4316,0.7459810956189104,2.2501087015613397,228.70306,33.710163227311035,20.37091060104527,True,0.569035,0.691603,0.602064,0.459726,0.576569,0.439561,0.518244
Old_EEG__30c140ca__day1____2023.12.18T09.42.40p03.00,30c140ca,60.0,4317,0.6939602618244608,2.6927214290094925,521.35944,77.43226053217276,20.37091060104527,True,0.573807,0.61231,0.243071,0.328783,0.57427,0.422189,0.422558
Old_EEG__30c140ca__day1____2023.12.18T09.42.40p03.00,30c140ca,120.0,4323,0.679595119006307,1.8424228251756438,178.12926,26.308000813274006,20.37091060104527,True,0.62839,0.619549,0.116813,0.329727,0.556653,0.400296,0.204484
Old_EEG__30c140ca__day1____2023.12.18T09.42.40p03.00,30c140ca,130.0,4324,0.5002006322911834,1.754528912886718,186.91977,27.983276214746905,20.37091060104527,True,0.644058,0.600472,0.203636,0.378743,0.451858,0.402119,0.255399
Old_EEG__30c140ca__day1____2023.12.18T09.42.40p03.00,30c140ca,160.0,4327,0.5344520823275073,1.997535038858261,945.82605,141.01757668766268,20.37091060104527,True,0.64915,0.633799,0.219464,0.367614,0.479397,0.41442,0.370901
Old_EEG__30c140ca__day1____2023.12.18T09.42.40p03.00,30c140ca,190.0,4330,0.953904142619586,3.485896408075612,552.47156,82.22398888069186,20.37091060104527,True,0.638072,0.710296,0.003003,0.457324,0.41389,0.398259,0.319502
Old_EEG__30c140ca__day1____2023.12.18T09.42.40p03.00,30c140ca,200.0,4331,1.5163472124541693,4.764382145305016,347.38705,52.804025626684584,20.37091060104527,True,0.585819,0.715777,0.564505,0.375983,0.602582,0.565284,0.206338
Old_EEG__30c140ca__day1____2023.12.18T09.42.40p03.00,30c140ca,210.0,4332,1.0618215161537576,3.3005498745958017,306.54425,45.79175741558359,20.37091060104527,True,0.520259,0.688729,0.408278,0.369445,0.697059,0.584403,0.205035
Old_EEG__30c140ca__day1____2023.12.18T09.42.40p03.00,30c140ca,250.0,4336,0.6863410023806273,2.3206001655369395,236.86633,35.04818462957277,20.37091060104527,True,0.59015,0.636013,0.164614,0.3352,0.489833,0.434837,0.212506
Old_EEG__30c140ca__day1____2023.12.18T09.42.40p03.00,30c140ca,260.0,4337,0.6698321338089737,2.760126330365017,572.0337,85.03363728182181,20.37091060104527,True,0.537026,0.719879,0.228692,0.345257,0.447834,0.495834,0.231619
Old_EEG__30c140ca__day1____2023.12.18T09.42.40p03.00,30c140ca,270.0,4338,1.2736674918710502,4.6441803520312055,406.74557,61.15655207944196,20.37091060104527,True,0.526986,0.742657,0.518518,0.464731,0.677297,0.619098,0.192511
