target_name,validation,model,folds,n_test_total,elapsed_s_total,mae_mean,mae_std,mae_min,mae_max,rmse_mean,rmse_std,rmse_min,rmse_max,r2_mean,r2_std,r2_min,r2_max,pearson_mean,pearson_std,pearson_min,pearson_max,spearman_mean,spearman_std,spearman_min,spearman_max
focus,groupkfold_subject_fold_3,hgb_reg,1,9107,12.224461555480957,0.10019622974466375,0.0,0.10019622974466375,0.10019622974466375,0.12809224556484616,0.0,0.12809224556484616,0.12809224556484616,0.08012745293315049,0.0,0.08012745293315049,0.08012745293315049,0.3330264879624137,0.0,0.3330264879624137,0.3330264879624137,0.33105202242769166,0.0,0.33105202242769166,0.33105202242769166
focus,groupkfold_subject_fold_3,lgbm_reg,1,9107,14.317827939987183,0.10038951492078396,0.0,0.10038951492078396,0.10038951492078396,0.12877994303936804,0.0,0.12877994303936804,0.12877994303936804,0.07022377531699564,0.0,0.07022377531699564,0.07022377531699564,0.32361907877043256,0.0,0.32361907877043256,0.32361907877043256,0.32741056743181063,0.0,0.32741056743181063,0.32741056743181063
focus,groupkfold_subject_fold_3,rf_reg,1,9107,439.1565284729004,0.09916429827548202,0.0,0.09916429827548202,0.09916429827548202,0.12673017036002862,0.0,0.12673017036002862,0.12673017036002862,0.0995864608738839,0.0,0.0995864608738839,0.0995864608738839,0.3311288630890303,0.0,0.3311288630890303,0.3311288630890303,0.32391175954976764,0.0,0.32391175954976764,0.32391175954976764
interest,groupkfold_subject_fold_3,hgb_reg,1,8991,11.86906099319458,0.06597615416280701,0.0,0.06597615416280701,0.06597615416280701,0.09141098254955331,0.0,0.09141098254955331,0.09141098254955331,0.1918561606965551,0.0,0.1918561606965551,0.1918561606965551,0.4473884308567129,0.0,0.4473884308567129,0.4473884308567129,0.34088359560092535,0.0,0.34088359560092535,0.34088359560092535
interest,groupkfold_subject_fold_3,lgbm_reg,1,8991,9.724533796310425,0.06553204938758232,0.0,0.06553204938758232,0.06553204938758232,0.09078983029084998,0.0,0.09078983029084998,0.09078983029084998,0.20280177879845052,0.0,0.20280177879845052,0.20280177879845052,0.4587305525747633,0.0,0.4587305525747633,0.4587305525747633,0.35789365602876755,0.0,0.35789365602876755,0.35789365602876755
interest,groupkfold_subject_fold_3,rf_reg,1,8991,572.8194983005524,0.06785912881309178,0.0,0.06785912881309178,0.06785912881309178,0.09384011323253044,0.0,0.09384011323253044,0.09384011323253044,0.1483346885100183,0.0,0.1483346885100183,0.1483346885100183,0.40994826550035063,0.0,0.40994826550035063,0.40994826550035063,0.30903720586733996,0.0,0.30903720586733996,0.30903720586733996
relaxation,groupkfold_subject_fold_3,hgb_reg,1,9126,11.979106187820435,0.1335561246000298,0.0,0.1335561246000298,0.1335561246000298,0.16200962001758323,0.0,0.16200962001758323,0.16200962001758323,0.2003716645117073,0.0,0.2003716645117073,0.2003716645117073,0.486411206094272,0.0,0.486411206094272,0.486411206094272,0.4687794570056369,0.0,0.4687794570056369,0.4687794570056369
relaxation,groupkfold_subject_fold_3,lgbm_reg,1,9126,9.620959281921387,0.13518869258484184,0.0,0.13518869258484184,0.13518869258484184,0.16407580357140839,0.0,0.16407580357140839,0.16407580357140839,0.17984554493439364,0.0,0.17984554493439364,0.17984554493439364,0.4743117324336835,0.0,0.4743117324336835,0.4743117324336835,0.4615521626921438,0.0,0.4615521626921438,0.4615521626921438
relaxation,groupkfold_subject_fold_3,rf_reg,1,9126,459.2234275341034,0.13880966645856332,0.0,0.13880966645856332,0.13880966645856332,0.16649320994857317,0.0,0.16649320994857317,0.16649320994857317,0.15550006313464293,0.0,0.15550006313464293,0.15550006313464293,0.43826813422790906,0.0,0.43826813422790906,0.43826813422790906,0.4249406339362181,0.0,0.4249406339362181,0.4249406339362181
stress,groupkfold_subject_fold_3,hgb_reg,1,9107,11.433491468429565,0.11123976970542498,0.0,0.11123976970542498,0.11123976970542498,0.1534558098525275,0.0,0.1534558098525275,0.1534558098525275,0.15894524542840693,0.0,0.15894524542840693,0.15894524542840693,0.4049940112687574,0.0,0.4049940112687574,0.4049940112687574,0.3305958334691074,0.0,0.3305958334691074,0.3305958334691074
stress,groupkfold_subject_fold_3,lgbm_reg,1,9107,9.244189262390137,0.11115985391950375,0.0,0.11115985391950375,0.11115985391950375,0.15379200011407457,0.0,0.15379200011407457,0.15379200011407457,0.15525605116842078,0.0,0.15525605116842078,0.15525605116842078,0.4014718482161911,0.0,0.4014718482161911,0.4014718482161911,0.33953161436508633,0.0,0.33953161436508633,0.33953161436508633
stress,groupkfold_subject_fold_3,rf_reg,1,9107,598.2420265674591,0.11221313688350096,0.0,0.11221313688350096,0.11221313688350096,0.15041443939761903,0.0,0.15041443939761903,0.15041443939761903,0.19195293331457386,0.0,0.19195293331457386,0.19195293331457386,0.4409730052982863,0.0,0.4409730052982863,0.4409730052982863,0.3131493437669466,0.0,0.3131493437669466,0.3131493437669466
attention,groupkfold_subject_fold_4,hgb_reg,1,8615,14.74010181427002,0.08669181087046703,0.0,0.08669181087046703,0.08669181087046703,0.11299984181983025,0.0,0.11299984181983025,0.11299984181983025,0.17199484754961947,0.0,0.17199484754961947,0.17199484754961947,0.41958943556753636,0.0,0.41958943556753636,0.41958943556753636,0.38561270538974907,0.0,0.38561270538974907,0.38561270538974907
attention,groupkfold_subject_fold_4,lgbm_reg,1,8615,15.118546962738037,0.0864840027640021,0.0,0.0864840027640021,0.0864840027640021,0.11288012234510365,0.0,0.11288012234510365,0.11288012234510365,0.1737484045242067,0.0,0.1737484045242067,0.1737484045242067,0.42414629462228354,0.0,0.42414629462228354,0.42414629462228354,0.39786749212389605,0.0,0.39786749212389605,0.39786749212389605
attention,groupkfold_subject_fold_4,rf_reg,1,8615,424.12657380104065,0.08177263462183539,0.0,0.08177263462183539,0.08177263462183539,0.10943211302301356,0.0,0.10943211302301356,0.10943211302301356,0.22345444453579233,0.0,0.22345444453579233,0.22345444453579233,0.47831340680552364,0.0,0.47831340680552364,0.47831340680552364,0.43426053753046784,0.0,0.43426053753046784,0.43426053753046784
engagement,groupkfold_subject_fold_4,hgb_reg,1,9733,12.659137487411499,0.08465150366715557,0.0,0.08465150366715557,0.08465150366715557,0.10705287064267766,0.0,0.10705287064267766,0.10705287064267766,0.35621757785340324,0.0,0.35621757785340324,0.35621757785340324,0.60037289547565,0.0,0.60037289547565,0.60037289547565,0.5264734492672061,0.0,0.5264734492672061,0.5264734492672061
engagement,groupkfold_subject_fold_4,lgbm_reg,1,9733,10.395608901977539,0.08415594347625316,0.0,0.08415594347625316,0.08415594347625316,0.10680079957878506,0.0,0.10680079957878506,0.10680079957878506,0.3592457613071385,0.0,0.3592457613071385,0.3592457613071385,0.603159009965167,0.0,0.603159009965167,0.603159009965167,0.5321679368541083,0.0,0.5321679368541083,0.5321679368541083
engagement,groupkfold_subject_fold_4,rf_reg,1,9733,464.85831356048584,0.07978138389584255,0.0,0.07978138389584255,0.07978138389584255,0.10264171658853448,0.0,0.10264171658853448,0.10264171658853448,0.4081791072333192,0.0,0.4081791072333192,0.4081791072333192,0.6424806514376039,0.0,0.6424806514376039,0.6424806514376039,0.5654950113575288,0.0,0.5654950113575288,0.5654950113575288
